replicate,internal,provenance_held_out,heldout_minus_internal
314,0.992389990317262,0.8998504311045523,-0.09253955921270973
315,0.9903238279829685,0.8960909305338172,-0.09423289744915131
316,0.9918627168929622,0.9024049578743355,-0.08945775901862674
317,0.9878843618907425,0.8993392425871091,-0.0885451193036334
318,0.9925222954811396,0.9063390012953483,-0.08618329418579129
319,0.9939957687253752,0.9019447093075011,-0.09205105941787406
320,0.9919118743853295,0.8996992069961182,-0.0922126673892113
321,0.9878160909894321,0.900018668119281,-0.08779742287015113
322,0.9922273398535699,0.8984376228970401,-0.09378971695652982
323,0.9916489785384405,0.9024278245192142,-0.08922115401922626
324,0.9900018515285295,0.8970239526223903,-0.09297789890613917
